Position,"Track Name",Artist,Streams,URL
109,Mine,Bazzi,795794,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
110,OTW,Khalid,785980,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
111,"Majesty (with Labrinth & feat. Eminem)","Nicki Minaj",774601,https://open.spotify.com/track/38TgLPNHsPzgqri5G4SPun
112,"Lean Wit Me","Juice WRLD",770863,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
113,"In My Blood","Shawn Mendes",768814,https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4
114,Happier,"Ed Sheeran",766847,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
115,"NO BYSTANDERS","Travis Scott",756550,https://open.spotify.com/track/6OaVWaGfhXn70ZJfdVcabn
116,Connection,OneRepublic,754689,https://open.spotify.com/track/3T4UodGkfZObJ43RtA5KFU
117,"R.I.P. SCREW","Travis Scott",751988,https://open.spotify.com/track/4SZepBIPDRwPaHIjAKwRDb
118,"Too Good At Goodbyes","Sam Smith",751886,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
119,"W O R K I N M E",Quavo,746888,https://open.spotify.com/track/33tNYw9oMtSkGe27NpgS64
120,Medicina,Anitta,738158,https://open.spotify.com/track/4R5xvs5X0phd0EYWyGigju
121,"I'm Yours","Jason Mraz",730929,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
122,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,719768,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
123,"Melodien (feat. Juju)","Capital Bra",715644,https://open.spotify.com/track/5d35jcJj7WjDQBOHCHPY6t
124,"Bella - Remix",Wolfine,714307,https://open.spotify.com/track/0SaYeGhSXN0dDWstyNTQ56
125,"Mob Ties",Drake,714147,https://open.spotify.com/track/7rC5Pl8rQSX4myONQHYPBK
126,Closer,"The Chainsmokers",707947,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
