UniqueReferenceNumber(URN),IncidentDate,IncidentCategory,ProductType,ProductOriginCountry,NotifierType,ProductOriginCountry_iso3n
ICID00030390,2017-08-11,Clandestine Detection,Fruits & Vegetables,Spain (ES),Border Inspection Posts (BIPs),724
ICID00030391,2017-08-11,Poor or Insufficient Controls,Poultry Meat & Poultry Meat Products,Thailand (TH),Border Inspection Posts (BIPs),764
ICID00030393,2017-08-11,Allergens,Poultry Meat & Poultry Meat Products,Netherlands (NL),Industry,528
ICID00030397,2017-08-14,Clandestine Detection,Soups / Broths / Sauces & Condiments,France (FR),Home Office / Border Force,250
ICID00030399,2017-08-14,Poor or Insufficient Controls,Crustaceans & Products Thereof,China (CN),Border Inspection Posts (BIPs),156
ICID00030400,2017-08-14,Pathogenic Micro-Organisms,Herbs and Spices,India (IN),Border Inspection Posts (BIPs),356
ICID00030402,2017-08-14,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Netherlands (NL),RASFF,528
ICID00030405,2017-08-14,Food Additives & Flavourings,Poultry Meat & Poultry Meat Products,Thailand (TH),Industry,764
ICID00030406,2017-08-15,Poor or Insufficient Controls,Nuts / Nut Products / Seeds,India (IN),Border Inspection Posts (BIPs),356
ICID00030408,2017-08-15,Mycotoxins,Nuts / Nut Products / Seeds,Islamic Republic of Iran (IR),Port Health Authority (PHA),364
ICID00030409,2017-08-15,Foreign Bodies,Nuts / Nut Products / Seeds,Kazakhstan (KZ),Local Authority,398
ICID00030410,2017-08-15,Migration,Fats & Oils,United States (US),RASFF,840
ICID00030411,2017-08-15,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,Poland (PL),Administrative Assistance and Cooperation System (AAC),616
ICID00030412,2017-08-15,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,Poland (PL),Administrative Assistance and Cooperation System (AAC),616
ICID00030414,2017-08-15,Poor or Insufficient Controls,Honey & Royal Jelly,New Zealand (NZ),Border Inspection Posts (BIPs),554
ICID00030415,2017-08-15,Allergens,Meat & Meat Products (other than poultry),Spain (ES),Local Authority,724
ICID00030416,2017-08-15,Allergens,Prepared Dishes & Snacks,Germany (DE),RASFF,276
ICID00030419,2017-08-16,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Thailand (TH),RASFF,764
ICID00030421,2017-08-16,Clandestine Detection,Other Food Product / Mixed,Spain (ES),Police,724
ICID00030423,2017-08-16,Foreign Bodies,Nuts / Nut Products / Seeds,Poland (PL),Industry,616
ICID00030424,2017-08-11,Poor or Insufficient Controls,Poultry Meat & Poultry Meat Products,Thailand (TH),Border Inspection Posts (BIPs),764
ICID00030426,2017-08-09,Poor or Insufficient Controls,Poultry Meat & Poultry Meat Products,Thailand (TH),Border Inspection Posts (BIPs),764
ICID00030429,2017-08-16,Residues of Veterinary Medicinal Products,Fish & Fish Products,Thailand (TH),Port Health Authority (PHA),764
ICID00030431,2017-08-18,Clandestine Detection,Milk & Milk Products,Switzerland (CH),Home Office / Border Force,756
ICID00030435,2017-08-18,Food Additives & Flavourings,Confectionery,China (CN),Border Inspection Posts (BIPs),156
ICID00030436,2017-08-15,Mycotoxins,Fruits & Vegetables,Islamic Republic of Iran (IR),Border Inspection Posts (BIPs),364
ICID00030438,2017-08-18,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Belgium (BE),RASFF,56
ICID00030439,2017-08-19,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Port Health Authority (PHA),76
ICID00030448,2017-08-21,Allergens,Dietetic Foods / Food Supplements / Fortified Foods,Luxembourg (LU),RASFF,442
ICID00030449,2017-08-14,Labelling Absent / Incomplete / Incorrect,Fats & Oils,Greece (GR),Local Authority,300
ICID00030450,2017-08-22,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,Belgium (BE),Local Authority,56
ICID00030451,2017-08-22,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,Belgium (BE),Local Authority,56
ICID00030452,2017-08-22,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,Belgium (BE),Local Authority,56
ICID00030453,2017-08-14,Labelling Absent / Incomplete / Incorrect,Fats & Oils,Italy (IT),Local Authority,380
ICID00030454,2017-08-22,Allergens,Nuts / Nut Products / Seeds,Pakistan (PK),Local Authority,586
ICID00030455,2017-08-22,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force,724
ICID00030458,2017-08-14,Labelling Absent / Incomplete / Incorrect,Fats & Oils,Spain (ES),Local Authority,724
ICID00030459,2017-08-22,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),Italy (IT),EU Member States,380
ICID00030460,2017-08-23,Poor or Insufficient Controls,Nuts / Nut Products / Seeds,India (IN),Border Inspection Posts (BIPs),356
ICID00030465,2017-08-23,Pathogenic Micro-Organisms,Milk & Milk Products,France (FR),RASFF,250
ICID00030466,2017-08-23,Poor or Insufficient Controls,Other Food Product / Mixed,Spain (ES),Local Authority,724
ICID00030467,2017-08-23,Migration,Food Contact Materials,China (CN),RASFF,156
ICID00030469,2017-08-24,Allergens,Meat & Meat Products (other than poultry),Denmark (DK),Industry,208
ICID00030470,2017-08-24,Poor or Insufficient Controls,Fish & Fish Products,United States (US),Border Inspection Posts (BIPs),840
ICID00030472,2017-08-24,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs),76
ICID00030473,2017-08-24,Migration,Food Contact Materials,China (CN),RASFF,156
ICID00030475,2017-08-24,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00030476,2017-08-24,Clandestine Detection,Non-Alcoholic Beverages,Czech Republic (DO),Border Inspection Posts (BIPs),214
ICID00030478,2017-08-24,Poor or Insufficient Controls,Fish & Fish Products,Republic of Korea (KR),Border Inspection Posts (BIPs),410
ICID00030479,2017-08-24,Labelling Absent / Incomplete / Incorrect,Dietetic Foods / Food Supplements / Fortified Foods,Netherlands (NL),RASFF,528
ICID00030483,2017-08-24,Mycotoxins,Herbs and Spices,India (IN),Border Inspection Posts (BIPs),356
ICID00030493,2017-08-27,Clandestine Detection,Poultry Meat & Poultry Meat Products,Romania (RO),Home Office / Border Force,642
ICID00030494,2017-08-28,Allergens,Meat & Meat Products (other than poultry),Denmark (DK),RASFF,208
ICID00030495,2017-08-28,Heavy Metals,Dietetic Foods / Food Supplements / Fortified Foods,China (CN),RASFF,156
ICID00030497,2017-08-29,Mycotoxins,Herbs and Spices,Ethiopia (ET),Border Inspection Posts (BIPs),231
ICID00030500,2017-08-25,Poor or Insufficient Controls,Honey & Royal Jelly,China (CN),Border Inspection Posts (BIPs),156
ICID00030504,2017-08-29,Mycotoxins,Herbs and Spices,Malawi (MW),Border Inspection Posts (BIPs),454
ICID00030508,2017-08-29,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00030511,2017-08-30,Labelling Absent / Incomplete / Incorrect,Confectionery,Belgium (BE),Local Authority,56
ICID00030513,2017-08-30,Pathogenic Micro-Organisms,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),Industry,840
ICID00030516,2017-08-31,Clandestine Detection,Herbs and Spices,Spain (ES),Border Inspection Posts (BIPs),724
ICID00030517,2017-08-30,Mycotoxins,Nuts / Nut Products / Seeds,Brazil (BR),Border Inspection Posts (BIPs),76
ICID00030519,2017-08-31,Poor or Insufficient Controls,Soups / Broths / Sauces & Condiments,United States (US),Local Authority,840
ICID00030521,2017-08-31,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Brazil (BR),RASFF,76
ICID00030523,2017-08-31,Pathogenic Micro-Organisms,Herbs and Spices,India (IN),Border Inspection Posts (BIPs),356
ICID00030134,2017-07-03,Chemical Contamination (other),Cereals & Bakery Products,Belgium (BE),Industry,56
ICID00030136,2017-07-03,Heavy Metals,Fish & Fish Products,Vietnam (VN),RASFF,704
ICID00030137,2017-07-03,Composition,Non-Alcoholic Beverages,United States (US),Industry,840
ICID00030138,2017-07-03,Poor or Insufficient Controls,Poultry Meat & Poultry Meat Products,Thailand (TH),Port Health Authority (PHA),764
ICID00030139,2017-07-03,Mycotoxins,Nuts / Nut Products / Seeds,Turkey (TR),RASFF,792
ICID00030140,2017-07-04,Pathogenic Micro-Organisms,Milk & Milk Products,France (FR),RASFF,250
ICID00030141,2017-07-04,Mycotoxins,Nuts / Nut Products / Seeds,China (CN),Port Health Authority (PHA),156
ICID00030144,2017-07-03,Labelling Absent / Incomplete / Incorrect,Confectionary,Netherlands (NL),Local Authority,528
ICID00030147,2017-07-04,Foreign Bodies,Prepared Dishes & Snacks,Belgium (BE),Industry,56
ICID00030148,2017-07-04,Clandestine Detection,Fruits & Vegetables,Czech Republic (DO),Home Office / Border Force,214
ICID00030155,2017-07-06,Pathogenic Micro-Organisms,Milk & Milk Products,France (FR),RASFF,250
ICID00030156,2017-07-06,Allergens,Dietetic Foods / Food Supplements / Fortified Foods,Canada (CA),EU Member States,124
ICID00030157,2017-07-06,Pathogenic Micro-Organisms,Herbs & Spices,Sri Lanka (LK),Local Authority,144
ICID00030161,2017-07-06,Food Additives & Flavourings,Non-Alcoholic Beverages,India (IN),Border Inspection Posts (BIPs),356
ICID00030165,2017-07-08,Clandestine Detection,Fruits & Vegetables,Greece (GR),Border Inspection Posts (BIPs),300
ICID00030166,2017-07-08,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Thailand (TH),Port Health Authority (PHA),764
ICID00030169,2017-07-09,Clandestine Detection,Fruits & Vegetables,Greece (GR),Police,300
ICID00030170,2017-07-04,Clandestine Detection,Milk & Milk Products,Italy (IT),Home Office / Border Force,380
ICID00030172,2017-07-10,Clandestine Detection,Confectionary,Switzerland (CH),Home Office / Border Force,756
ICID00030174,2017-07-10,Composition,Other Food Product / Mixed,France (FR),Administrative Assistance and Cooperation System (AAC),250
ICID00030176,2017-07-07,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00030177,2017-07-10,Food Additives & Flavourings,Confectionary,Philippines (PH),RASFF,608
ICID00030178,2017-07-10,Clandestine Detection,Fruits & Vegetables,Austria (AT),Home Office / Border Force,40
ICID00030179,2017-07-11,Chemical Contamination (other),Feed Additives,Lithuaina (LT),Local Authority,440
ICID00030182,2017-07-11,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Netherlands (NL),RASFF,528
ICID00030185,2017-07-11,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00030186,2017-07-10,Poor or Insufficient Controls,Meat & Meat Products (other than poultry),China (CN),Port Health Authority (PHA),156
ICID00030187,2017-07-11,Poor or Insufficient Controls,Nuts / Nut Products / Seeds,Nigeria (NG),Border Inspection Posts (BIPs),566
ICID00030189,2017-07-12,Poor or insufficient controls,Fruits & Vegetables,Spain (ES),Border Inspection Posts (BIPs),724
ICID00030190,2017-07-12,Pathogenic Micro-Organisms,Fruits & Vegetables,Netherlands (NL),RASFF,528
ICID00030194,2017-07-12,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force,724
ICID00030196,2017-07-13,Mycotoxins,Herbs & Spices,India (IN),Border Inspection Posts (BIPs),356
ICID00030197,2017-07-13,Chemical Contamination (other),Nuts / Nut Products / Seeds,China (CN),Local Authority,156
ICID00030198,2017-07-13,Foreign Bodies,Prepared Dishes & Snacks,India (IN),Food Standards Scotland (FSS),356
ICID00030200,2017-07-13,Poor or Insufficient Controls,Herbs & Spices,India (IN),Border Inspection Posts (BIPs),356
ICID00030201,2017-07-13,Poor or Insufficient Controls,Fruits & Vegetables,Islamic Republic of Iran (IR),Border Inspection Posts (BIPs),364
ICID00030205,2017-07-13,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs),76
ICID00030211,2017-07-15,Clandestine Detection,Fruits & Vegetables,Spain (ES),Home Office / Border Force,724
ICID00030212,2017-07-15,Clandestine Detection,Non-Alcoholic Beverages,Poland (PL),Home Office / Border Force,616
ICID00030213,2017-07-14,Poor or Insufficient Controls,Pet Food,India (IN),Border Inspection Posts (BIPs),356
ICID00030215,2017-07-17,Poor or Insufficient Controls,Fruits & Vegetables,Nigeria (NG),Border Inspection Posts (BIPs),566
ICID00030216,2017-07-17,Poor or Insufficient Controls,Pet Food,India (IN),Border Inspection Posts (BIPs),356
ICID00030217,2017-07-17,Pathogenic Micro-Organisms,Herbs & Spices,India (IN),Border Inspection Posts (BIPs),356
ICID00030219,2017-07-17,Pathogenic Micro-Organisms,Herbs & Spices,India (IN),Border Inspection Posts (BIPs),356
ICID00030226,2017-07-18,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),Poland (PL),Local Authority,616
ICID00030227,2017-07-18,Clandestine Detection,Milk & Milk Products,France (FR),Home Office / Border Force,250
ICID00030228,2017-07-18,Poor or Insufficient Controls,Fish & Fish Products,South Africa (ZA),Border Inspection Posts (BIPs),710
ICID00030230,2017-07-19,Mycotoxins,Nuts / Nut Products / Seeds,China (CN),Border Inspection Posts (BIPs),156
ICID00030231,2017-07-18,Mycotoxins,Nuts / Nut Products / Seeds,China (CN),Border Inspection Posts (BIPs),156
ICID00030236,2017-07-19,Clandestine Detection,Fruits & Vegetables,Germany (DE),Home Office / Border Force,276
ICID00030239,2017-07-19,Clandestine Detection,Fruit & Vegetables,Spain (ES),Border Inspection Posts (BIPs),724
ICID00030240,2017-07-20,Poor or Insufficient Controls,Poultry Meat & Poultry Meat Products,Thailand (TH),Border Inspection Posts (BIPs),764
ICID00030241,2017-07-20,Chemical Contamination (other),Fish & Fish Products,Spain (ES),Administrative Assistance and Cooperation System (AAC),724
ICID00030242,2017-07-20,Clandestine Detection,Cereals & Bakery Products,Slovakia (SI),Police,705
ICID00030249,2017-07-21,Chemical Contamination (other),Cereals & Bakery Products,Spain (ES),RASFF,724
ICID00030258,2017-07-21,Clandestine Detection,Other Food Product / Mixed,Romania (RO),Police,642
ICID00030259,2017-07-22,Clandestine Detection,Other Food Product / Mixed,Germany (DE),Home Office / Border Force,276
ICID00030262,2017-07-23,Clandestine Detection,Non-Alcoholic Beverages,Spain (ES),Home Office / Border Force,724
ICID00030271,2017-07-24,Poor or Insuficient Controls,Meat & Meat Products (other than poultry),Poland (PL),FSA Operations Group,616
ICID00030273,2017-07-24,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),EU Member States,76
ICID00030276,2017-07-24,Allergens,Meat & Meat Products (other than poultry),Romania (RO),Local Authority,642
ICID00030280,2017-07-25,Heavy Metals,Fish & Fish Products,Vietnam (VN),RASFF,704
ICID00030281,2017-07-25,Allergens,Herbs & Spices,France (FR),Industry,250
ICID00030283,2017-07-26,Allergens,Meat & Meat Products (other than poultry),Germany (DE),Local Authority,276
ICID00030285,2017-07-26,Composition,Non-Alcoholic Beverages,Netherlands (NL),RASFF,528
ICID00030286,2017-07-26,Pathogenic Micro-Organisms,Nuts / Nut Products / Seeds,Nigeria (NG),Port Health Authority (PHA),566
ICID00030287,2017-07-26,Poor or Insufficient Controls,Herbs & Spices,Ethiopia (ET),Border Inspection Posts (BIPs),231
ICID00030288,2017-07-26,Clandestine Detection,Pet Food,France (FR),Home Office / Border Force,250
ICID00030289,2017-07-27,Clandestine Detection,Other Food Product / Mixed,Bulgaria (BG),Home Office / Border Force,100
ICID00030290,2017-07-27,Clandestine Detection,Non-Alcoholic Beverages,Germany (DE),Home Office / Border Force,276
ICID00030291,2017-07-27,Mycotoxins,Nuts / Nut Products / Seeds,China (CN),Port Health Authority (PHA),156
ICID00030296,2017-07-27,Pathogenic Micro-Organisms,Fruits & Vegetables,Thailand (TH),Border Inspection Posts (BIPs),764
ICID00030297,2017-07-27,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs),76
ICID00030299,2017-07-28,Pathogenic Micro-Organisms,Fruits & Vegetables,Nigeria (NG),Border Inspection Posts (BIPs),566
ICID00030300,2017-07-28,Clandestine Detection,Fruits & Vegetables,Bulgaria (BG),Home Office / Border Force,100
ICID00030301,2017-07-26,Poor or Insufficient Controls,Gastropods,Cameroon (CM),Border Inspection Posts (BIPs),120
ICID00030303,2017-07-27,Poor or Insufficient Controls,Fish & Fish Products,China (CN),Port Health Authority (PHA),156
ICID00030304,2017-07-28,Pathogenic Micro-Organisms,Fish & Fish Products,Ireland (IE),Industry,372
ICID00030306,2017-07-28,Food Additives & Flavourings,Other Food Product / Mixed,United States (US),RASFF,840
ICID00030310,2017-07-28,Clandestine Detection,Other Food Product / Mixed,Bulgaria (BG),Home Office / Border Force,100
ICID00030311,2017-07-27,Pesticide Residues,Other Food Product / Mixed,Netherlands (NL),European Commission (EC),528
ICID00030320,2017-07-31,Poor or Insufficient Controls,Other Food Product / Mixed,China (CN),Border Inspection Posts (BIPs),156
ICID00030322,2017-07-31,Mycotoxins,Fruits & Vegetables,India (IN),Border Inspection Posts (BIPs),356
ICID00030376,2017-07-20,Poor or Insufficient Controls,Other Food Product / Mixed,Netherlands (NL),Industry,528
ICID00030971,2017-07-31,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs),76
ICID00029943,2017-06-01,Clandestine Detection,Cereals & Bakery Products,France (FR),Home Office / Border Force,250
ICID00029944,2017-06-01,Clandestine Detection,Cereals & Bakery Products,France (FR),Home Office / Border Force,250
ICID00029947,2017-06-02,Pesticide Residues,Non-Alcoholic Beverages,China (CN),Port Health Authority (PHA),156
ICID00029950,2017-06-02,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs),76
ICID00029952,2017-06-03,Clandestine Detection,Fruit & Vegetables,France (FR),Border Inspection Posts (BIPs),250
ICID00029954,2017-06-04,Clandestine Detection,Fruits & Vegetables,Spain (ES),Police,724
ICID00029956,2017-06-01,Novel Food,Dietetic foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00029958,2017-06-05,Composition,Non-Alcoholic Beverages,Bulgaria (BG),Local Authority,100
ICID00029959,2017-06-05,Poor or Insufficient Controls,Herbs & Spices,India (IN),Port Health Authority (PHA),356
ICID00029960,2017-06-06,Clandestine Detection,Fruit & Vegetables,Spain (ES),Home Office / Border Force,724
ICID00029962,2017-06-06,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs),76
ICID00029964,2017-06-06,Poor or Insufficient Controls,Fruit & Vegetables,Nigeria (NG),Border Inspection Posts (BIPs),566
ICID00029966,2017-06-06,Migration,Food Contact Materials,China (CN),RASFF,156
ICID00029967,2017-06-01,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Uruguay (UY),Animal and Plant Health Agency (APHA),858
ICID00029971,2017-06-07,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Port Health Authority (PHA),76
ICID00029972,2017-06-07,Clandestine Detection,Milk & Milk Products,France (FR),Home Office / Border Force,250
ICID00029975,2017-06-07,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Austailia (AU),RASFF,36
ICID00029976,2017-06-07,Poor or Insufficient Controls,Crustaceans & Products Thereof,Indonesia (ID),Border Inspection Posts (BIPs),360
ICID00029978,2017-06-07,Composition,Dietetic Food / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00029982,2017-06-08,Clandestine Detection,Alcoholic Beverages,France (FR),Border Inspection Posts (BIPs),250
ICID00029983,2017-06-08,Pathogenic Micro-Organisms,Meat & Meat Products (other than poultry),Argentina (AR),RASFF,32
ICID00029985,2017-06-09,Allergens,Alcoholic Beverages,New Zealand (NZ),European Commission (EC),554
ICID00029988,2017-06-09,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Bosnia & Herzegovina (BA),Border Inspection Posts (BIPs),70
ICID00029990,2017-06-09,Clandestine Detection,Fruit & Vegetables,Netherlands (NL),Home Office / Border Force,528
ICID00029994,2017-06-10,Clandestine Detection,Non-Alcoholic Beverages,Germany (DE),Home Office / Border Force,276
ICID00029995,2017-06-10,Clandestine Detection,Fruit & Vegetables,Spain (ES),Home Office / Border Force,724
ICID00029999,2017-06-09,Allergens,Fruit & Vegetables,China (CN),Local Authority,156
ICID00030000,2017-06-13,Migration,Food Contact Materials,China (CN),RASFF,156
ICID00030005,2017-06-13,Composition,Dietetic Food / Food Supplements / Fortified Foods,Cyprus (CY),Local Authority,196
ICID00030006,2017-06-13,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs),76
ICID00030007,2017-06-05,Pesticide Residues,Fruit & Vegetables,Dominican Republic (DO),Border Inspection Posts (BIPs),214
ICID00030010,2017-06-13,Composition,Dietetic Food / Food Supplements / Fortified Foods,Canada (CA),RASFF,124
ICID00030013,2017-06-14,Poor or Insufficient Controls,Nuts / Nut Products / Seeds,India (IN),Port Health Authority (PHA),356
ICID00030015,2017-06-14,Labelling Absent / Incomplete / Incorrect,Fish & Fish Products,Poland (PL),Industry,616
ICID00030016,2017-06-14,Chemical Contamination (other),Fish & Fish Products,Vietnam (VN),RASFF,704
ICID00030017,2017-06-14,Pathogenic Micro-Organisims,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs),76
ICID00030018,2017-06-14,Labelling Abesent/Incomplete/Incorrect,Cereals & Bakery Products,Spain (ES),RASFF,724
ICID00030020,2017-06-15,Poor or Insufficient Controls,Fish & Fish Products,Papua New Guinea (PG),Border Inspection Posts (BIPs),598
ICID00030021,2017-06-13,Composition,Dietetic Food / Food Supplements / Fortified Foods,United States (US),EU Member States,840
ICID00030025,2017-06-15,Clandestine Detection,Cereals & Bakery Products,Hungary (HU),Home Office / Border Force,348
ICID00030027,2017-06-16,Clandestine Detection,Fruit & Vegetables,Spain (ES),Police,724
ICID00030030,2017-06-16,Chemical Contamination (other),Fish & Fish Products,France (FR),RASFF,250
ICID00030031,2017-06-16,Poor or Insufficient Controls,Herbs & Spices,Ethiopia (ET),Border Inspection Posts (BIPs),231
ICID00030032,2017-06-17,Pesticide Residues,Nuts / Nut Products / Seeds,Nigeria (NG),Border Inspection Posts (BIPs),566
ICID00030033,2017-06-17,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs),76
ICID00030035,2017-06-19,Poor or Insufficient Controls,Non-Alcoholic Beverages,Germany (DE),Border Inspection Posts (BIPs),276
ICID00030036,2017-06-19,Poor or Insufficient Controls,Cereals & Bakery Products,India (IN),Border Inspection Posts (BIPs),356
ICID00030038,2017-06-19,Labelling Absent / Incomplete / Incorrect,Meat & Meat Products (other than poultry),France (FR),Local Authority,250
ICID00030044,2017-06-20,Pesticide Residues,Fruits & Vegetables,Kenya (KE),Border Inspection Posts (BIPs),404
ICID00030046,2017-06-20,Poor or Insufficient Controls,Herbs & Spices,India (IN),Border Inspection Posts (BIPs),356
ICID00030047,2017-06-20,Pathogenic Micro-Organisms,Feed Materials,Brazil (BR),RASFF,76
ICID00030048,2017-06-20,Clandestine Detection,Fruit & Vegetables,Spain (ES),Home Office / Border Force,724
ICID00030049,2017-06-20,Food Additives & Flavourings,Confectionairy,Malaysia (MY),Local Authority,458
ICID00030050,2017-06-20,Pesticide Residues,Fruits & Vegetables,Nigeria (NG),Border Inspection Posts (BIPs),566
ICID00030052,2017-06-21,Clandestine Detection,Confectionery,France (FR),Border Inspection Posts (BIPs),250
ICID00030053,2017-06-20,Food Additives & Flavourings,Non-Alcoholic Beverages,Netherlands (NL),Local Authority,528
ICID00030061,2017-06-21,Pathogenic Micro-Organisms,Dietetic Food / Food Supplements / Fortified Foods,United States (US),Third Country,840
ICID00030067,2017-06-22,Pesticide Residues,Fruit & Vegetables,Benin (BJ),Border Inspection Posts (BIPs),204
ICID00030070,2017-06-22,Clandestine Detection,Cereals & Bakery Products,France (FR),Home Office / Border Force,250
ICID00030072,2017-06-22,Clandestine Detection,Fruits & Vegetables,Spain (ES),Police,724
ICID00030073,2017-06-23,Mycotoxins,Cereals & Bakery Products,Poland (PL),RASFF,616
ICID00030075,2017-06-23,Biotoxins (other),Fish & Fish Products,India (IN),Local Authority,356
ICID00030076,2017-06-23,Heavy Metals,Fish & Fish Products,Taiwan (TW),Local Authority,158
ICID00030077,2017-06-23,Poor or Insufficient Controls,Non-Alcoholic Beverages,France (FR),Border Inspection Posts (BIPs),250
ICID00030078,2017-06-23,Poor or Insufficient Controls,Prepared Dishes & Snacks,India (IN),Local Authority,356
ICID00030079,2017-06-23,Pesticide Residues,Nuts / Nut Products / Seeds,Turkey (TR),Border Inspection Posts (BIPs),792
ICID00030082,2017-06-23,Heavy Metals,Dietetic Food / Food Supplements / Fortified Foods,India (IN),Local Authority,356
ICID00030084,2017-06-23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs),76
ICID00030087,2017-06-24,Clandestine Detection,Fruit & Vegetables,Turkey (TR),Border Inspection Posts (BIPs),792
ICID00030090,2017-06-25,Clandestine Detection,Fruit & Vegetables,Spain (ES),Home Office / Border Force,724
ICID00030093,2017-06-23,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs),76
ICID00030094,2017-06-26,Poor or Insufficient Controls,Fruit & Vegetables,Nigeria (NG),Port Health Authority (PHA),566
ICID00030095,2017-06-26,Poor or Insufficient Controls,Prepared Dishes & Snacks,China (CN),Local Authority,156
ICID00030096,2017-06-26,Mycotoxins,Fish & Fish Products,Taiwan (TW),Border Inspection Posts (BIPs),158
ICID00030098,2017-06-26,Labelling Absent / Incomplete / Incorrect,Alcoholic Beverages,Spain (ES),Local Authority,724
ICID00030101,2017-06-27,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs),76
ICID00030106,2017-06-27,Poor or Insufficient Controls,Herbs & Spices,India (IN),Border Inspection Posts (BIPs),356
ICID00030107,2017-06-27,Poor or Insufficient Controls,Herbs & Spices,India (IN),Border Inspection Posts (BIPs),356
ICID00030108,2017-06-27,Poor or Insufficient Controls,Herbs & Spices,India (IN),Border Inspection Posts (BIPs),356
ICID00030109,2017-06-27,Pathogenic Micro-Organisms,Milk & Milk Products,France (FR),RASFF,250
ICID00030110,2017-06-26,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs),76
ICID00030114,2017-06-28,Migration,Food Contact Materials,China (CN),RASFF,156
ICID00030116,2017-06-28,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs),76
ICID00030118,2017-06-28,Pathogenic Micro-Organisms,Herbs & Spices,India (IN),Local Authority,356
ICID00030124,2017-06-29,Composition,Dietetic Food / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00030125,2017-06-29,Chemical Contamination (other),Fish & Fish Products,India (IN),RASFF,356
ICID00030126,2017-06-29,Pathogenic Micro-Organisms,Fruit & Vegetables,France (FR),Local Authority,250
ICID00030127,2017-06-30,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Belgium (BE),RASFF,56
ICID00030128,2017-06-30,Poor or Insufficient Controls,Herbs & Spices,India (IN),Border Inspection Posts (BIPs),356
ICID00030129,2017-06-30,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Belgium (BE),RASFF,56
