UniqueReferenceNumber(URN),IncidentDate,IncidentCategory,ProductType,ProductOriginCountry,NotifierType,ProductOriginCountry_iso3n
ICID00031538,2018-02-01,Clandestine Detection,Cereal & Bakery Products,Belgium (BE),Police,56
ICID00031541,2018-02-01,Pathogenic Micro-Organisms,Pet Food,Germany (DE),RASFF,276
ICID00031542,2018-02-01,Allergens,Prepared Dishes & Snacks,Belgium (BE),RASFF,56
ICID00031543,2018-02-01,Novel Food,Dietetic Foods / Food Supplements / Fortified Foods,Netherlands (NL),Local Authority,528
ICID00031544,2018-02-02,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs),76
ICID00031545,2018-02-02,Pathogenic Micro-Organisms,Soups / Broths / Sauces & Condiments,Bangladesh (BD),Border Inspection Posts (BIPs),50
ICID00031550,2018-02-05,Pesticide Residues,Fruits & Vegetables,Pakistan (PK),Border Inspection Posts (BIPs),586
ICID00031551,2018-02-01,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Thailand (TH),RASFF,764
ICID00031552,2018-02-02,Pesticide Residues,Fats and Oils,Argentina (AR),Industry,32
ICID00031553,2018-02-05,Foreign Bodies,Poultry Meat & Poultry Meat Products,Poland (PL),Local Authority,616
ICID00031554,2018-02-05,Pesticide Residues,Fruits & Vegetables,India (IN),Border Inspection Posts (BIPs),356
ICID00031555,2018-02-05,Composition,Dietetic Foods / Food Supplements / Fortified Foods,Netherlands (NL),RASFF,528
ICID00031556,2018-02-06,Composition,Dietetic Foods / Food Supplements / Fortified Foods,Spain (ES),RASFF,724
ICID00031557,2018-02-06,Allergens,Fats and Oils,Spain (ES),Industry,724
ICID00031558,2018-02-06,Pathogenic Micro-Organisms,Poultry Meat & Poultry Meat Products,Brazil (BR),Border Inspection Posts (BIPs),76
ICID00031561,2018-02-06,Pathogenic Micro-Organisms,Food Contact Materials,Ireland (IE),Industry,372
ICID00031566,2018-02-07,Composition,Dietetic Foods / Food Supplements / Fortified Foods,United States (US),RASFF,840
ICID00031569,2018-02-08,Pesticide Residues,Fruits & Vegetables,China (CN),Border Inspection Posts (BIPs),156
