x,y,value
Arabian,Sushi Bars,0.173899090446258
Sushi Bars,Arabian,0.173899090446258
Patisserie/Cake Shop,Pizza,0.173836202255342
Pizza,Patisserie/Cake Shop,0.173836202255342
Gelato,Sushi Bars,0.172854463900683
Sushi Bars,Gelato,0.172854463900683
Food Court,Thai,0.171973685928638
Thai,Food Court,0.171973685928638
Ethnic Food,Piano Bars,0.171203514963243
Piano Bars,Ethnic Food,0.171203514963243
Arabian,Cuban,0.170978408150096
Cuban,Arabian,0.170978408150096
Breweries,Spanish,0.170739826917857
Spanish,Breweries,0.170739826917857
Patisserie/Cake Shop,Salad,0.169472461660798
Salad,Patisserie/Cake Shop,0.169472461660798
Breweries,Cupcakes,0.169113176040684
Cupcakes,Breweries,0.169113176040684
Falafel,Piano Bars,0.168813074699662
Piano Bars,Falafel,0.168813074699662
Hot Pot,Piano Bars,0.16842061569855
Piano Bars,Hot Pot,0.16842061569855
Ethnic Food,Patisserie/Cake Shop,0.168180984367077
Patisserie/Cake Shop,Ethnic Food,0.168180984367077
Beer Bar,Pubs,0.167671029479364
Pubs,Beer Bar,0.167671029479364
Pizza,Wine Bars,0.166236692007621
Wine Bars,Pizza,0.166236692007621
Food Court,Latin American,0.166159720400143
Latin American,Food Court,0.166159720400143
Patisserie/Cake Shop,Soup,0.165972204672339
Soup,Patisserie/Cake Shop,0.165972204672339
Latin American,Pizza,0.165850782900528
Pizza,Latin American,0.165850782900528
Arabian,Mediterranean,0.164977927648125
Mediterranean,Arabian,0.164977927648125
Breweries,Patisserie/Cake Shop,0.164575055029699
Patisserie/Cake Shop,Breweries,0.164575055029699
Indonesian,Pubs,0.164418579996246
Pubs,Indonesian,0.164418579996246
Falafel,Italian,0.163729548804892
Italian,Falafel,0.163729548804892
Food Delivery Services,Sushi Bars,0.163446947511649
Sushi Bars,Food Delivery Services,0.163446947511649
Beer Bar,Fast Food,0.162279671460579
Fast Food,Beer Bar,0.162279671460579
Breweries,Hot Pot,0.160553617067198
Hot Pot,Breweries,0.160553617067198
Food Delivery Services,Italian,0.160091579927018
Italian,Food Delivery Services,0.160091579927018
Latin American,Pubs,0.159980735844904
Pubs,Latin American,0.159980735844904
Piano Bars,Wine Bars,0.159161417533714
Wine Bars,Piano Bars,0.159161417533714
Cuban,Cupcakes,0.158645407093242
Cupcakes,Cuban,0.158645407093242
Gelato,Piano Bars,0.158420547454211
Piano Bars,Gelato,0.158420547454211
Pizza,Thai,0.156984109418954
Thai,Pizza,0.156984109418954
Cafes,Cheese Shops,0.155324360615729
Cheese Shops,Cafes,0.155324360615729
Falafel,Indonesian,0.155221221192282
Indonesian,Falafel,0.155221221192282
Italian,Pizza,0.155092534141474
Pizza,Italian,0.155092534141474
Desserts,Gelato,0.155007962130398
Gelato,Desserts,0.155007962130398
Indonesian,Shaved Ice,0.154957977333328
Shaved Ice,Indonesian,0.154957977333328
Spanish,Wine Bars,0.154751587399962
Wine Bars,Spanish,0.154751587399962
Cheese Shops,Specialty Food,0.153298898379091
Specialty Food,Cheese Shops,0.153298898379091
Food Court,Sushi Bars,0.152557657275474
Sushi Bars,Food Court,0.152557657275474
Italian,Pubs,0.152165012712905
Pubs,Italian,0.152165012712905
Gelato,Latin American,0.151785230179632
Latin American,Gelato,0.151785230179632
Cuban,Spanish,0.151723825037689
Spanish,Cuban,0.151723825037689
Cuban,Hot Pot,0.151201920583953
Hot Pot,Cuban,0.151201920583953
Caribbean,Food Delivery Services,0.151112262023625
Food Delivery Services,Caribbean,0.151112262023625
Cupcakes,Desserts,0.150313572011155
Desserts,Cupcakes,0.150313572011155
Arabian,Delis,0.150217649384166
Delis,Arabian,0.150217649384166
Latin American,Salad,0.149582340720952
Salad,Latin American,0.149582340720952
Fast Food,Patisserie/Cake Shop,0.149536548510793
Patisserie/Cake Shop,Fast Food,0.149536548510793
