channel_title,trending_count,views,subscribers,classification
Cobra Kai,5,1559658,0.0,Youtuber
Coca-Cola,1,413417,2169695.0,Commercial
Cody'sBLab,1,102900,186233.0,Youtuber
Cody'sLab,2,188078,1403175.0,Youtuber
Cody'sLab Backup,1,52607,186233.0,Youtuber
CoinDaddy,1,9577,2442.0,Conventional Viral
ColdFusion,1,217582,1482714.0,Youtuber
Cole and Marmalade,7,185418,780468.0,Youtuber
Colleen Ballinger,2,395330,5436226.0,Youtuber
Colleen Vlogs,2,183016,1327783.0,Youtuber
CollegeHumor,25,564244,12641442.0,Youtuber
ColliderVideos,17,63291,435897.0,Traditional Media
Collins Key,1,5275682,10740733.0,Youtuber
Comedy Central,2,187456,6126683.0,Traditional Media
Comicbook.com,3,210946,587231.0,Traditional Media
Commercials Funny,1,22034,23053.0,Youtuber
Complex,14,780839,2018112.0,Traditional Media
Confuse News,1,90680,0.0,Conventional Viral
ConnorFranta,6,151434,5608973.0,Youtuber
Conor Maynard,1,6952956,7126502.0,Music
Context Information Security,1,3595,65.0,Conventional Viral
Corinne Leigh,1,330124,1147860.0,Youtuber
Corridor,1,414045,4631217.0,Youtuber
Cosmopolitan.com,3,118735,614778.0,Traditional Media
Cracked,7,246606,2158902.0,Youtuber
Crafty Panda,1,7638,1142.0,Youtuber
CrashCourse,1,35892,7348299.0,Youtuber
CrashRacing,1,831968,19969.0,Youtuber
CrazyLaughAction,1,95668,32676.0,Conventional Viral
CrazyRussianHacker,15,724276,10474796.0,Youtuber
Cristi Cristian,1,699223,2717.0,Conventional Viral
CrossKut316,1,113672,917.0,Music
CrowsEyeProductions,1,61251,6596.0,Youtuber
Crusoe the Celebrity Dachshund,1,10521,145653.0,Youtuber
Cultaholic,1,132395,265662.0,Youtuber
CupcakeJemma,5,64625,1206997.0,Youtuber
Cut,8,514690,4296125.0,Youtuber
CyclingTips,1,4562,11596.0,Youtuber
"Cyprus Air Heating, Cooling and Fireplaces",1,118344,229.0,Commercial
D3sports.com,1,4569,1387.0,Movie Trailer
DJI,1,82977,534597.0,Commercial
DJSnakeVEVO,1,673010,6582759.0,Music
DKDKTV,1,6179,179574.0,Youtuber
DaHoopSpot Productions,1,2493,3298.0,Youtuber
Daelric,1,48372,6.0,Youtuber
Daily Caller,1,1142585,1027.0,Traditional Media
Daily Davidsons,1,25211,232191.0,Youtuber
Daily Dose Of Internet,5,1689670,1165807.0,Youtuber
Daisy Marquez,3,399433,891449.0,Youtuber
Dale Dai,1,1392244,1774.0,Conventional Viral
DamonAndJo,7,40314,882394.0,Youtuber
DanAndPhilGAMES,1,580796,3102660.0,Youtuber
DanTDM,3,1380723,18185017.0,Youtuber
Dancing On Ice,1,59606,12819.0,Traditional Media
Dancing With The Stars,7,225230,578344.0,Traditional Media
Dani Ochoa,2,377266,40357.0,Conventional Viral
Daniel Howell,1,1757966,6564976.0,Youtuber
Danny Sapko,1,493662,5467.0,Conventional Viral
Darren Criss,1,31034,174255.0,Music
Dave Lee,2,259812,1169792.0,Youtuber
Davey Swatpaz,1,8014,5064.0,Conventional Viral
David Archuleta,1,54209,209832.0,Music
David Guetta,4,594925,15730009.0,Music
David Jardine,1,25084,1164.0,Conventional Viral
David Sistaro,1,60079,56.0,Conventional Viral
David Steuer,1,27779,3.0,Conventional Viral
David Windestal,1,18744,108239.0,Youtuber
Davie504,5,625606,1295228.0,Music
Dawid Szmandra,1,67876,4703.0,Conventional Viral
Daz Games,1,268199,1891854.0,Youtuber
Dean Anderson,1,7325,0.0,Conventional Viral
Define American,1,1456,2884.0,Traditional Media
Demi Lovato,1,208117,2241908.0,Music
DemiLovatoVEVO,3,2844684,12155465.0,Music
Dennis Kapatos,1,87209,321.0,Conventional Viral
Derek Hough,1,50722,27817.0,Music
Desi Perkins,5,351210,2979592.0,Youtuber
Desimpedidos,1,3990953,5390215.0,Youtuber
Desktop Makes,1,3390,5091.0,Conventional Viral
Desus & Mero,1,104785,200982.0,Traditional Media
Diet Coke,1,363422,11954.0,Commercial
Dina Tokio,1,72626,730238.0,Youtuber
Diplo,4,1857403,367129.0,Music
Dish Nation,1,10640,146481.0,Traditional Media
Disney Descendants,1,87832,1069029.0,Traditional Media
Disney Movie Trailers,7,1682290,1207358.0,Movie Trailer
Disney Parks,4,119434,820614.0,Commercial
DisneyMusicVEVO,3,826708,9420289.0,Music
Disneyland Experience,1,8696,54913.0,Traditional Media
Dj Earworm,1,124338,844033.0,Music
Doctor Mike,3,638000,351100.0,Youtuber
Doctor Who,1,747653,1028817.0,Traditional Media
Dolan Twins,2,1138065,5190943.0,Youtuber
Domain of Science,1,30134,204562.0,Youtuber
Domics,7,1678427,4932426.0,Youtuber
DonDiablo,1,251014,622719.0,Music
Donut Media,1,93829,535963.0,Youtuber
DoodleChaos,1,221145,44116.0,Youtuber
DopeBoyTroy,1,12100,0.0,Youtuber
Dorkly,1,931112,2498166.0,Traditional Media
Doug DeMuro,6,813826,1414188.0,Youtuber
Doug Ellison,1,49993,3035.0,Conventional Viral
Doug Jones for Senate,1,49472,718.0,Traditional Media
Dr. Sandra Lee (aka Dr. Pimple Popper),3,148503,3482825.0,Youtuber
DrMachakil,1,25082,25929.0,Youtuber
DraftExpress,1,1432,108205.0,Youtuber
DragTimes,1,30484,103039.0,Youtuber
DrakeBellVEVO,1,65973,141333.0,Music
DreamCastle_629,1,14071,50.0,Conventional Viral
Drew Lynch,2,83144,1310243.0,Youtuber
Dua Lipa,2,2761725,5404909.0,Music
Duan Mackenzie,1,60072,34941.0,Youtuber
Dude Perfect,12,9002021,27998379.0,Youtuber
Duncan Sinfield,1,279812,12199.0,Youtuber
DunkFest,2,72675,25589.0,Youtuber
Dustin Penner,1,43564,209052.0,Youtuber
Duston Ward,1,578128,3333.0,Youtuber
Dwarf Mamba,1,4575521,1968818.0,Youtuber
Dylan Locke,1,34551,9122.0,Youtuber
E! Entertainment,18,457316,901160.75,Traditional Media
E! Live from the Red Carpet,4,228494,99821.0,Traditional Media
E! News,3,10543,242795.0,Traditional Media
EA SPORTS FIFA,1,674446,3150213.0,Commercial
ELLE,5,314393,214786.0,Traditional Media
ELLEUKTV,1,18032,19328.0,Commercial
ESPN,84,496953,2702088.0,Traditional Media
ET Canada,1,648544,0.0,Traditional Media
EVNautilus,1,89132,114045.0,Youtuber
East Idaho News,1,3077,2779.0,Traditional Media
Eater,6,113692,689083.0,Youtuber
Ed Sheeran,5,10890771,28676937.0,Music
Edward Avila,1,45065,759167.0,Youtuber
ElbowVEVO,1,154494,34590.0,Music
ElectroBOOM,4,309891,1346352.0,Youtuber
Electron Dust,1,4610,1013.0,Conventional Viral
ElleOfTheMills,4,550383,1121792.0,Youtuber
Ellie and Jared,2,310056,1392742.0,Youtuber
EllieGouldingVEVO,2,120553,8110145.0,Music
Elton John,1,60398,46779.0,Music
EltonJohnVEVO,1,806841,569824.0,Music
Elvis Duran Show,1,8941,92194.0,Traditional Media
EminemVEVO,4,7806622,26383080.0,Music
Emirates,1,141148,313288.0,Commercial
Emma Massingale,1,13670,4395.0,Conventional Viral
Empire,1,22659,954360.0,Traditional Media
End of Ze World,1,125897,1860.0,Conventional Viral
Engineering Explained,2,304310,1631073.0,Youtuber
Enter Shikari,1,99619,0.0,Music
Entertainment Tonight,13,267215,1006866.0,Traditional Media
Entertainment Weekly,2,3404,145315.0,Traditional Media
EntertainmentVevo,1,845262,25803.0,Music
Epicurious,5,535304,130054.0,Traditional Media
Eric Strebel,3,3783,11912.0,Youtuber
Erin Noelle,1,206669,117525.0,Youtuber
Errant Signal,1,41268,131038.0,Youtuber
Esther Bellido,1,583360,828.0,Conventional Viral
"European Space Agency, ESA",1,74720,249771.0,Traditional Media
Eva Lunde Bentley,1,42513,390.0,Conventional Viral
Evan Edinger,1,138218,454698.0,Youtuber
Everyday Astronaut,3,109016,101616.0,Youtuber
EverythingApplePro,8,617154,5265974.0,Youtuber
Exploring Alternatives,1,109455,410838.0,Youtuber
ExplosmEntertainment,12,884363,7937284.0,Traditional Media
Extra Credits,2,221924,1374020.0,Youtuber
F Milburn,1,2612,2.0,Conventional Viral
FBE,25,1321006,16874196.0,Youtuber
FC Barcelona,9,277508,3938715.0,Traditional Media
FIFATV,1,222827,2069402.0,Traditional Media
FILMWEBTV,1,23433,1450.0,Traditional Media
FOX,3,13125,968243.0,Traditional Media
FOX Soccer,10,525325,279693.0,Traditional Media
FOX Sports,4,122594,446487.0,Traditional Media
FRANKIEmusicVEVO,1,6383,8992.0,Music
FX Networks,4,52457,125215.0,Traditional Media
FaZe Rug,5,1403514,7840878.0,Youtuber
Facelesstech,1,1237,114.0,Youtuber
FacelesswithEyesOpen,1,2896,8844.0,Conventional Viral
FaeryInLoveInc,1,50867,44.0,Conventional Viral
FailArmy,1,2154298,13501782.0,Youtuber
FallOutBoyVEVO,4,654358,3864568.0,Music
Famous Celebrities Snaps,1,5751,15382.0,Traditional Media
Fancy Vlogs By Gab,1,441809,1716488.0,Youtuber
Feast Of Fiction,3,72033,1069169.0,Youtuber
Feelunique,1,12790,10778.0,Commercial
FerrasVEVO,1,12866,13365.0,Music
Fifty Shades,1,244539,383936.0,Movie Trailer
FiftyShadesVEVO,4,1128635,476614.0,Music
FightHype.com,3,122422,253444.0,Traditional Media
First Aid Kit,1,13128,32907.0,Music
First We Feast,31,573546,2872375.16,Youtuber
Fleur DeForce,4,256468,1466098.0,Youtuber
FliteTest,3,99609,813417.0,Commercial
FloSports,1,28954,33697.0,Traditional Media
Focus Features,7,1351522,173457.0,Movie Trailer
Fontgod,1,9666,45.0,Conventional Viral
Food Wishes,6,145606,2278592.0,Youtuber
