Position,"Track Name",Artist,Streams,URL
130,"La Cintura","Alvaro Soler",613652,https://open.spotify.com/track/19MBk3PbNFE36wqIqkMq9H
131,"Mob Ties",Drake,606979,https://open.spotify.com/track/7rC5Pl8rQSX4myONQHYPBK
132,"Barbie Dreams","Nicki Minaj",606061,https://open.spotify.com/track/6Poyf51k7W3NKnsGwAI90B
133,"Ball For Me (feat. Nicki Minaj)","Post Malone",598952,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
134,"Bella - Remix",Wolfine,593657,https://open.spotify.com/track/0SaYeGhSXN0dDWstyNTQ56
135,"Call Out My Name","The Weeknd",593606,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
136,Hope,XXXTENTACION,592913,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
137,"Bed (feat. Ariana Grande)","Nicki Minaj",588855,https://open.spotify.com/track/3L4GsGLgxpHieVQH86H8bv
138,"Ric Flair Drip (& Metro Boomin)",Offset,588829,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
139,"goodnight n go","Ariana Grande",588609,https://open.spotify.com/track/14kYOiFVPb7E7NfFbqhdln
140,HUMBLE.,"Kendrick Lamar",586048,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
141,"Te Amo","Piso 21",584770,https://open.spotify.com/track/2RVrdr062uLFxXwIxwdXPH
142,"Síguelo Bailando",Ozuna,581879,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
143,"FAKE LOVE",BTS,579294,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo
144,"Walk It Talk It",Migos,578678,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
145,"Plug Walk","Rich The Kid",578115,https://open.spotify.com/track/1ZAyjvIk9YiD76yYy0TEG6
146,Ibiza,Ozuna,576701,https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp
147,Connection,OneRepublic,571681,https://open.spotify.com/track/3T4UodGkfZObJ43RtA5KFU
148,"Chanel (Go Get It) [feat. Gunna & Lil Baby]","Young Thug",570257,https://open.spotify.com/track/0kCBorRrKZkSztd9m0QI3r
149,Risiko,"Bonez MC",569754,https://open.spotify.com/track/6pLKMPAUlBCjHjylj2Nbd9
150,"Remind Me to Forget",Kygo,569084,https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80
151,"WAKE UP","Travis Scott",567284,https://open.spotify.com/track/20MuVazoNMv6xjKPnRFOxG
152,"pete davidson","Ariana Grande",564287,https://open.spotify.com/track/0XOnMqLQDO89iAg7dWWwnG
153,goosebumps,"Travis Scott",560439,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
154,"Wonderwall - Remastered",Oasis,560381,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
155,"Something Just Like This","The Chainsmokers",557681,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
156,"One Dance",Drake,556380,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
157,Calypso,"Luis Fonsi",555362,https://open.spotify.com/track/4178A5NkEjcsGc64jpBO6d
158,"you should see me in a crown","Billie Eilish",554701,https://open.spotify.com/track/6vsV4D8BM6PioRr1UOx0n2
159,"Chica Paranormal","Paulo Londra",550108,https://open.spotify.com/track/2r77vqSZkOktTSgmAOoHsV
160,Celoso,"Lele Pons",546413,https://open.spotify.com/track/33zcmmElV1YbRZe57biUjg
161,"Candy Paint","Post Malone",545448,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
162,"Freaky Friday (feat. Chris Brown)","Lil Dicky",542040,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
163,"Trivia 轉 : Seesaw",BTS,540932,https://open.spotify.com/track/1ZPpGPko8oULTmi34rozMh
164,"No Quiero Amarte (feat. Zion & Lennox)","Justin Quiles",539632,https://open.spotify.com/track/5bITfqKGaPakO1l99hOMsI
165,"Trivia 起 : Just Dance",BTS,537822,https://open.spotify.com/track/0usLRFLmYXYahKNgXxsuJc
166,"Wake Me Up - Radio Edit",Avicii,536642,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD
167,"Hopeless Romantic (feat. Swae Lee)","Wiz Khalifa",534521,https://open.spotify.com/track/7IBSffWIu7P2MC7kMwy2FM
168,"Blah Blah Blah","Armin van Buuren",533446,https://open.spotify.com/track/0tp6mwUt99QnfY95T30Lqj
169,"What Lovers Do (feat. SZA)","Maroon 5",531111,https://open.spotify.com/track/0GxQ1A5L9xnMOytbP6eKBG
170,"All The Stars (with SZA)","Kendrick Lamar",530767,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
171,"Thinking Out Loud","Ed Sheeran",529628,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
172,"Feel It Still","Portugal. The Man",528460,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
173,Epiphany,BTS,526122,https://open.spotify.com/track/7L8hkKW4hnemNfuOfEZcle
174,"Serendipity (Full Length Edition)",BTS,523343,https://open.spotify.com/track/5cQB9fbuQCz4muQUFkv3rR
175,CAROUSEL,"Travis Scott",522187,https://open.spotify.com/track/7KZ5MMVgBVox9ycroB2UrI
176,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",520526,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
