MMSI, LAT, LON, SPEED, COURSE, STATUS, TIMESTAMP
995031033,-10.473590,142.376500,0,0,98,2013-11-20T16:12:00
311069300,5.572830,113.775900,1,275,0,2013-11-20T16:01:00
477108100,6.182288,95.546100,189,286,0,2013-11-20T15:37:00
563001230,1.232567,103.683000,0,82,8,2013-11-20T16:08:00
566065000,1.221822,103.591300,1,197,0,2013-11-20T16:06:00
529195000,1.310297,103.726300,0,0,99,2013-11-20T16:02:00
563009000,1.250038,103.594400,1,270,0,2013-11-20T15:30:00
563021650,1.269823,103.856700,1,202,99,2013-11-20T16:10:00
212275000,6.319730,95.451840,137,69,0,2013-11-20T15:44:00
572160000,1.296658,103.756300,1,291,99,2013-11-20T16:11:00
503091000,-16.952220,145.773400,0,41,5,2013-11-20T16:06:00
503338000,-12.462430,130.850500,0,271,5,2013-11-20T16:09:00
503516000,-12.472000,130.846700,0,269,15,2013-11-20T16:11:00
503590000,-12.471120,130.847200,0,0,5,2013-11-20T16:12:00
503778700,-12.460190,130.822300,0,13,5,2013-11-20T16:11:00
457632000,10.602940,107.021300,0,294,5,2013-11-20T16:03:00
503476200,-16.921650,145.781300,0,360,15,2013-11-20T16:12:00
565143000,1.262267,103.849100,0,41,0,2013-11-20T16:08:00
311639000,-6.008328,105.959900,0,317,5,2013-11-20T16:11:00
563000690,1.243587,103.845600,73,217,15,2013-11-20T16:06:00
563008480,1.306230,103.727700,0,45,99,2013-11-20T16:09:00
354292000,10.314030,123.933800,0,222,5,2013-11-20T16:11:00
574000450,10.690760,106.762400,0,257,8,2013-11-20T16:11:00
525012232,-5.872412,105.936600,75,301,0,2013-11-20T16:12:00
566666000,1.262767,103.828200,0,120,0,2013-11-20T16:09:00
529595000,1.310368,103.726400,0,0,99,2013-11-20T15:55:00
245609000,1.259110,103.870700,1,296,1,2013-11-20T16:12:00
355779000,1.229450,103.650200,1,39,1,2013-11-20T15:45:00
563916000,1.198500,103.876900,122,65,0,2013-11-20T16:10:00
441944000,1.298317,103.731400,0,108,5,2013-11-20T16:08:00
574272000,10.616620,106.484900,0,51,5,2013-11-20T16:12:00
566186000,1.301597,103.755400,0,0,99,2013-11-20T15:29:00
565870000,1.238517,103.759600,0,138,5,2013-11-20T16:08:00
538004129,1.295803,103.656800,0,345,2,2013-11-20T16:09:00
412413258,10.320890,123.941800,0,0,8,2013-11-20T16:09:00
538003828,1.229842,103.640500,1,333,1,2013-11-20T16:08:00
312556000,1.267230,103.871600,0,0,99,2013-11-20T16:04:00
677055900,5.401423,100.338000,0,293,8,2013-11-20T16:09:00
305062000,1.235023,103.817200,0,0,1,2013-11-20T16:10:00
477738400,1.195933,103.690200,0,173,1,2013-11-20T15:55:00
565000000,1.258333,103.917200,0,79,0,2013-11-20T16:05:00
563021040,1.219167,103.655200,32,88,15,2013-11-20T16:12:00
563004450,1.234935,103.686600,0,0,0,2013-11-20T16:11:00
353529000,6.238667,95.308410,114,106,0,2013-11-20T15:37:00
563021430,1.291368,103.760400,1,137,0,2013-11-20T16:09:00
574379000,1.250333,103.800500,0,286,1,2013-11-20T16:09:00
574400000,10.720510,106.758400,0,1,5,2013-11-20T15:46:00
533587000,1.263262,103.683600,0,68,5,2013-11-20T16:08:00
370552000,6.221867,95.358720,149,105,0,2013-11-20T15:37:00
457379000,1.286413,103.705500,1,25,99,2013-11-20T16:03:00
677056000,1.270977,103.854400,1,289,99,2013-11-20T15:40:00
565957000,1.250090,103.866400,1,246,1,2013-11-20T16:09:00
563081000,1.242260,103.653600,1,357,5,2013-11-20T16:11:00
525016348,-5.915787,105.919100,77,310,0,2013-11-20T16:12:00
566190000,1.299783,103.695400,0,51,0,2013-11-20T16:08:00
574387000,1.266700,103.831100,0,54,5,2013-11-20T16:05:00
565684000,1.166617,103.718500,0,162,1,2013-11-20T15:52:00
